position,positionTrend,fullName,abbreviatedName,wins,loses,winPercentage,pointsFor,pointsAgainst,plusMinus,logo
1,0,Real Madrid,RMB,26,8,76.47058823529412,3160,2906,254,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png
2,0,Valencia Basket,VBC,25,9,73.52941176470588,3218,2829,389,https://static.acb.com/img/23/2/25/1654748673.png
3,0,Kosner Baskonia,BKN,25,9,73.52941176470588,3177,2950,227,https://static.acb.com/img/www/clubes2025/2526KosnerBaskoniaLogo.png
4,0,UCAM Murcia,UCM,25,9,73.52941176470588,3113,2876,237,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png
5,0,Barça,BAR,24,10,70.58823529411765,3046,2815,231,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png
6,0,Asisa Joventut,JOV,22,12,64.70588235294117,2906,2766,140,https://static.acb.com/img/www/clubes2026/202526AsisaJoventutLogoPosisitvo.png
7,1,Surne Bilbao,SBB,19,15,55.88235294117647,2884,2924,-40,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png
8,-1,La Laguna Tenerife,LLT,18,16,52.94117647058823,3040,2940,100,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png
9,0,Unicaja,UNI,17,17,50.0,2978,2956,22,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png
10,1,BAXI Manresa,BAX,16,18,47.05882352941177,2932,3080,-148,https://static.acb.com/img/31/9/2f/75632.png
11,-1,Río Breogán,BRE,15,19,44.11764705882353,3094,3171,-77,https://static.acb.com/logos/1718/breogan_00.png
12,0,Bàsquet Girona,GIR,14,20,41.1764705882353,2913,3024,-111,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png
13,1,Recoletas Salud San Pablo Burgos,BUR,12,22,35.294117647058826,3049,3152,-103,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png
14,-1,Hiopos Lleida,HIO,12,22,35.294117647058826,2856,3097,-241,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png
15,2,Casademont Zaragoza,CAZ,10,24,29.41176470588235,2962,3176,-214,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png
16,0,MoraBanc Andorra,MBA,10,24,29.41176470588235,2976,3169,-193,https://static.acb.com/img/43/43/28/75593.png
17,-2,Dreamland Gran Canaria,DGC,10,24,29.41176470588235,2764,2932,-168,https://static.acb.com/img/2/58/5b/75611.png
18,0,Coviran Granada,COV,6,28,17.647058823529413,2848,3153,-305,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png
